ad_id,ad_name,effective_status,campaign_id,creative_id,media_type,object_type,local_path,frames_dir,sha256,video_id,has_video_file,has_thumbnail
120218691006170476,Ad11_VID_Wht_rodrigoamgoes_VAR04 – Copy,PAUSED,120218691006130476,1782314632564927,video,VIDEO,creatives_output/images/120218691006170476_Ad11_VID_Wht_rodrigoamgoes_VAR04__Copy_thumb.jpg,creatives_output/frames/120218691006170476,91637a649bc0c06f125aad385aa4c23f49a617310c785510b5801f945aab6178,1023415972964157,False,True
120223304515650476,Ad18_VID_Wht_jotamatiotti_109_B/A_VAR01 - Fixed,CAMPAIGN_PAUSED,120217386309950476,1093455209210726,video,VIDEO,creatives_output/images/120223304515650476_Ad18_VID_Wht_jotamatiotti_109_BA_VAR01_-_Fixed_thumb.jpg,creatives_output/frames/120223304515650476,a257728c9441fc84555734ef93450a290776e65371c57b062edd0ac2239fb0fd,2960145940858683,False,True
120223305649030476,Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR06,CAMPAIGN_PAUSED,120217386309950476,616491881424349,video,VIDEO,creatives_output/images/120223305649030476_Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR06_thumb.jpg,creatives_output/frames/120223305649030476,9da21d6f38e248113cdeb83ce15ec48683f7ce9a6f51f983763ffcff9c00fa08,1004220638562576,False,True
120222658070970476,Ad17_VID_Wht_jotamatiotti_108_R$20_VAR04,CAMPAIGN_PAUSED,120217386309950476,717329624060794,video,VIDEO,creatives_output/images/120222658070970476_Ad17_VID_Wht_jotamatiotti_108_R20_VAR04_thumb.jpg,creatives_output/frames/120222658070970476,688818c6233907102fc6e36949ac210585f0ef233ac28258486f9d633db45c52,1154337699776181,False,True
120222658002420476,Ad17_VID_Wht_jotamatiotti_108_R$20_VAR03,CAMPAIGN_PAUSED,120217386309950476,1722783951607836,video,VIDEO,creatives_output/images/120222658002420476_Ad17_VID_Wht_jotamatiotti_108_R20_VAR03_thumb.jpg,creatives_output/frames/120222658002420476,33914bcfbca04e0ea02d09b8666b756ebe0863e288bceb2cf0ede12f7145a522,1444443873655514,False,True
120222656201380476,Ad17_VID_Wht_jotamatiotti_108_R$20_VAR01,CAMPAIGN_PAUSED,120217386309950476,9643113992475205,video,VIDEO,creatives_output/images/120222656201380476_Ad17_VID_Wht_jotamatiotti_108_R20_VAR01_thumb.jpg,creatives_output/frames/120222656201380476,342bbf715759a31a2728a9df2dfc182c126d84d276eda2a0a71b0a2c938765a8,1357061872284121,False,True
120222658190030476,Ad17_VID_Wht_jotamatiotti_108_R$20_VAR05,CAMPAIGN_PAUSED,120217386309950476,1401168200890320,video,VIDEO,creatives_output/images/120222658190030476_Ad17_VID_Wht_jotamatiotti_108_R20_VAR05_thumb.jpg,creatives_output/frames/120222658190030476,4b7ede985bcfe3df32427e671def062c557fcfd355597a3f4294fb248ccf8bfc,1198247601877098,False,True
120222657831260476,Ad17_VID_Wht_jotamatiotti_108_R$20_VAR02,CAMPAIGN_PAUSED,120217386309950476,1049206087063705,video,VIDEO,creatives_output/images/120222657831260476_Ad17_VID_Wht_jotamatiotti_108_R20_VAR02_thumb.jpg,creatives_output/frames/120222657831260476,ae58ba36c79cb0b0e59518aeb65250bbf82fac31fb30ffd0953a651d6817fd5f,1225809819019729,False,True
120222237425440476,Ad10_VID_Wht_leoalberti_VAR06_Apr/25,PAUSED,120217386309950476,654754910726048,video,VIDEO,creatives_output/images/120222237425440476_Ad10_VID_Wht_leoalberti_VAR06_Apr25_thumb.jpg,creatives_output/frames/120222237425440476,b7c7e4028a9f0261b2f7b8d3ebcae34508bd0ba8fe9d9c2dd96e5cc2b2efa1d4,3197637533737400,False,True
120222204795270476,Ad18_VID_Wht_jotamatiotti_109_B/A_VAR01,DISAPPROVED,120217386309950476,1304218264008309,video,VIDEO,creatives_output/images/120222204795270476_Ad18_VID_Wht_jotamatiotti_109_BA_VAR01_thumb.jpg,creatives_output/frames/120222204795270476,96651ee97f30246260a2e96dbebf9df13680c1969bee7ffd224856046d2cb57b,1772648090356725,False,True
120222233800250476,Ad10_VID_Wht_leoalberti_VAR03_Apr/25,CAMPAIGN_PAUSED,120217386309950476,2462325387477412,video,VIDEO,creatives_output/images/120222233800250476_Ad10_VID_Wht_leoalberti_VAR03_Apr25_thumb.jpg,creatives_output/frames/120222233800250476,d64b26551f15cbc8da4288c55bf3703d66dcf8042a5bc412f95ef816d60941c6,717959864227611,False,True
120222205078400476,Ad18_VID_Wht_jotamatiotti_109_B/A_VAR03,CAMPAIGN_PAUSED,120217386309950476,1087903850052445,video,VIDEO,creatives_output/images/120222205078400476_Ad18_VID_Wht_jotamatiotti_109_BA_VAR03_thumb.jpg,creatives_output/frames/120222205078400476,133991bdd724e7eb1daa44a3300e44e734440d877032500c86633fcb1609da63,648070085054237,False,True
120222203709610476,Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR01,CAMPAIGN_PAUSED,120217386309950476,1400634900929076,video,VIDEO,creatives_output/images/120222203709610476_Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR01_thumb.jpg,creatives_output/frames/120222203709610476,041c5b72012b60f5022d9286363476d1d9d63840d7da4376bfead9d13597e898,29548037254810135,False,True
120222204671570476,Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR04,CAMPAIGN_PAUSED,120217386309950476,1358331455405640,video,VIDEO,creatives_output/images/120222204671570476_Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR04_thumb.jpg,creatives_output/frames/120222204671570476,041c5b72012b60f5022d9286363476d1d9d63840d7da4376bfead9d13597e898,665651032840046,False,True
120222204730370476,Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR05,CAMPAIGN_PAUSED,120217386309950476,694049066606102,video,VIDEO,creatives_output/images/120222204730370476_Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR05_thumb.jpg,creatives_output/frames/120222204730370476,1819c8f3d1670b3e8c2dbdc60c6a59eadcea555fc39a734eea72912defe24600,1205610367581502,False,True
120222204531580476,Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR02,CAMPAIGN_PAUSED,120217386309950476,1488232488808409,video,VIDEO,creatives_output/images/120222204531580476_Ad16_VID_Wht_jotamatiotti_107_Cansado_VAR02_thumb.jpg,creatives_output/frames/120222204531580476,0680f81e85cb1d32346448f1267f256a18b88a03fc15bec2775b1cad884435cd,1864814394062070,False,True
